15.26	14.84	0.871	5.763	3.312	2.221	5.22
14.88	14.57	0.8811	5.554	3.333	1.018	4.956
14.29	14.09	0.905	5.291	3.337	2.699	4.825
13.84	13.94	0.8955	5.324	3.379	2.259	4.805
16.14	14.99	0.9034	5.658	3.562	1.355	5.175
12.73	13.75	0.8458	5.412	2.882	3.533	5.067
17.63	15.98	0.8673	6.191	3.561	4.076	6.06
16.84	15.67	0.8623	5.998	3.484	4.675	5.877
17.26	15.73	0.8763	5.978	3.594	4.539	5.791
19.11	16.26	0.9081	6.154	3.93	2.936	6.079
16.82	15.51	0.8786	6.017	3.486	4.004	5.841
13.07	13.92	0.848	5.472	2.994	5.304	5.395
13.32	13.94	0.8613	5.541	3.073	7.035	5.44
13.34	13.95	0.862	5.389	3.074	5.995	5.307
12.22	13.32	0.8652	5.224	2.967	5.469	5.221
11.82	13.4	0.8274	5.314	2.777	4.471	5.178
11.21	13.13	0.8167	5.279	2.687	6.169	5.275
